input,tags
"Dirk gives Absinthe a bit of healing. Dustfinger stands ready. Absinthe tries to get ahead and punch something, but the webbing proves difficult to move through. He holds his attack as well. The two spiders reappear, one behind Dustfinger and one between Absinthe and Fjolnir, but before they get to strike, Dustfinger, Absinthe and Hymir release their readied actions. Absinthe slashes at the one that appeared behind him: Attack: 20 Damage: 7 and makes a small gash across it's backside. Dustfinger's flourishing attack slices off a mandible. Hymir's Firebolt chars a section of exoskeleton. The first spider attacks Dustfinger: Attack: 19 Damage: 11 / 8 But hits and destroys one of his duplicates. It then runs around to the other side of the pit. (Dustfinger used his reaction to use his held action, so no opportunity.) The second attacks Fjolnir: Attack: 21 Damage: 11 piercing, and Fjolnir must make a DC 11 CON Save or take 14 poison damage. (Then apply poison resistance again. I did not add any of the damage to your sheet yet.) A third phase spider runs out of a doorway in the hall, across the webs, bites at Absinthe, then phases out of the material plane. Attack: 10 Damage: 10 But in its haste it misses. Fjolnir must make his CON Save, then take his turn, and Hymir and Az Emberi are up.  Phase Spiders: Round 2 23- Dirk 22- Dustfinger (5/27 HP, 2 Mirror Image copies) 17- Absinthe (26/35 HP) 16- Phase Spiders 1) Taken 26 damage, Looks rough 2) Taken 12 damage 3) (Disappeared) 14- Fjolnir (28/44 HP) 14- Hymir 8- Az Emberi","[{""creature"":{""words"":[[""Fjolnir"",""Hymir"",""Az"",""Emberi""],[""Dirk"",""Dustfinger"",""Absinthe""]],""indices"":[[262,266,268,269],[233,235,243]]},""target"":{""words"":[[""Spiders""]],""indices"":[[248]]},""damageRoll"":{""words"":[[""12""],[""26""]],""indices"":[[257],[251]]}},{""target"":{""words"":[[""Spiders:""],[""Absinthe,""]],""indices"":[[229],[193]]},""creature"":{""words"":[[""Hymir"",""Az"",""Emberi""],[""Fjolnir""],[""spider""]],""indices"":[[222,224,225],[211],[179]]},""attackRoll"":{""words"":[[""10""]],""indices"":[[202]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[204]]}},{""creature"":{""words"":[[""Fjolnir""],[""Fjolnir:""]],""indices"":[[146],[139]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[141]]},""damageRoll"":{""words"":[[""14""],[""11""]],""indices"":[[156],[143]]},""attack"":{""words"":[[""piercing,""]],""indices"":[[144]]}},{""attackRoll"":{""words"":[[""19""],[""Absinthe"",""20""]],""indices"":[[100],[59,69]]},""damageRoll"":{""words"":[[""11""],[""7""]],""indices"":[[102],[71]]},""creature"":{""words"":[[""Dustfinger:""],[""Hymir's""],[""Dustfinger's""]],""indices"":[[98],[87],[80]]},""attack"":{""words"":[[""spider""],[""Firebolt""]],""indices"":[[96],[88]]}},{""creature"":{""words"":[[""Dustfinger,"",""Absinthe"",""Hymir""]],""indices"":[[51,52,54]]}},{""attack"":{""words"":[[""spiders""],[""Absinthe"",""punch""]],""indices"":[[34],[10,16]]},""target"":{""words"":[[""Fjolnir,""],[""Absinthe""],[""Dustfinger""]],""indices"":[[44],[42],[38]]}},{""target"":{""words"":[[""Dustfinger""]],""indices"":[[7]]}},{""creature"":{""words"":[[""Dirk""]],""indices"":[[0]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[2]]},""spell"":{""words"":[[""healing.""]],""indices"":[[6]]}}]"
"Dirk webs the shit out of those unsuspecting stirges. (They make dex saves on their turn, we'll get to that soon.) 21 / 7 While Dirk was gyrating, Az Emberi hears something behind them, a leathery flapping noise, but he's too late to alert the rest of the party. Before he can call out, a loud rumbling is heard from behind the party is stunned to see Venomfang land just feet behind you. He is enraged and frothing at the prospect of destroying you, nothing like the deal-making young dragon you met before. ' VENGEANCE!!!' Az Emberi, you're up first. Then Venomfang. Surprise Round 21-Az Emberi 7 Venomfang","[{""attack"":{""words"":[[""Venomfang.""],[""dragon""],[""Venomfang""]],""indices"":[[101],[89],[67]]},""spell"":{""words"":[[""VENGEANCE!!!'""],[""frothing""],[""enraged""]],""indices"":[[94],[77],[75]]},""damageRoll"":{""words"":[[""21-Az""]],""indices"":[[104]]},""attackRoll"":{""words"":[[""7""]],""indices"":[[106]]}},{""creature"":{""words"":[[""Emberi""],[""Dirk"",""webs""]],""indices"":[[29],[0,1]]},""attack"":{""words"":[[""unsuspecting"",""stirges.""]],""indices"":[[7,8]]},""savingThrow"":{""words"":[[""gyrating,""],[""dex"",""saves""]],""indices"":[[27],[11,12]]},""attackRoll"":{""words"":[[""21"",""/"",""7""]],""indices"":[[21,22,23]]},""spell"":{""words"":[[""flapping""]],""indices"":[[36]]}}]"
"Dustfinger follows Dirk and nods to the ruined portal to the north. 'That looks like something our Goliath friend could put his back into.' Dustfinger moves carefully north along the eastern wall, watching for anything amiss. Inv 2 Per 16","[{""creature"":{""words"":[[""Dustfinger""],[""Goliath""],[""Dustfinger""]],""indices"":[[24],[17],[0]]},""target"":{""words"":[[""Dirk""]],""indices"":[[2]]},""savingThrow"":{""words"":[[""2""],[""amiss.""]],""indices"":[[37],[35]]},""attackRoll"":{""words"":[[""16""]],""indices"":[[39]]}}]"
"Dustfinger hears commotion outside, and whispers to the dwarf. 'Gundren sent us to help. You're untied now, so wait or run, but my sword is needed in the hall.' (Dust will move into the hall next to Hymir on his initiative tick, and take the rest of his action at that point.)","[{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[0]]},""spell"":{""words"":[[""commotion"",""whispers"",""dwarf.""]],""indices"":[[2,5,8]]},""target"":{""words"":[[""'Gundren""]],""indices"":[[9]]},""attack"":{""words"":[[""sword""]],""indices"":[[23]]}}]"
"Dustfinger swears, knowing something like this would happen. He drops concentration on Hex so he can cover the area all around where Az is moonbeaming with faerie fire. (Dex vs 14) 'BLOCK THE DOORS! GIVE HIM NO WAY OUT!' Dusty is overcome with a particular ferocity to see this drow dead, but it's nothing personal. Drow just really hate each other.","[{""target"":{""words"":[[""Drow""]],""indices"":[[55]]},""spell"":{""words"":[[""hate""]],""indices"":[[58]]}},{""creature"":{""words"":[[""Dusty""]],""indices"":[[39]]},""spell"":{""words"":[[""ferocity""]],""indices"":[[45]]},""target"":{""words"":[[""drow""]],""indices"":[[49]]}},{""creature"":{""words"":[[""(Dex""],[""faerie"",""fire.""],[""Az""],[""Dustfinger""]],""indices"":[[28],[26,27],[22],[0]]},""attack"":{""words"":[[""moonbeaming""],[""concentration""]],""indices"":[[24],[10]]},""target"":{""words"":[[""14)""],[""Hex""]],""indices"":[[30],[12]]}}]"
"Fjolnir dashes to the second-southernmost rope to his immediate west, shouldering his longbow, and heaving Hew from overhead, down onto the rope along its iron stake. Hew 9 Dmg 6","[{""creature"":{""words"":[[""Fjolnir"",""dashes""]],""indices"":[[0,1]]},""attack"":{""words"":[[""rope""],[""Hew""],[""longbow,""],[""rope""]],""indices"":[[21],[15],[12],[5]]},""attackRoll"":{""words"":[[""9""]],""indices"":[[27]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[29]]}}]"
"Fjolnir draws his scimitar and hand axe, and proceeds to swing wildly at the mini shit covered stink sack. Att 9 Dmg 6 Att 22 Dmg 6","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""scimitar"",""hand"",""axe,""]],""indices"":[[3,5,6]]},""target"":{""words"":[[""stink"",""sack.""],[""mini"",""shit""]],""indices"":[[17,18],[14,15]]},""attackRoll"":{""words"":[[""22""],[""9""]],""indices"":[[24],[20]]},""damageRoll"":{""words"":[[""6""],[""6""]],""indices"":[[26],[22]]}}]"
"Fjolnir edges along the wall and settles near the flames of the bonfire- he nocks another arrow, sights the one eyed beast, and draws to fire at it, '****ing... creeping shit from the dark..!' Attack 13 potential damage 7","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""arrow,""]],""indices"":[[16]]},""spell"":{""words"":[[""'****ing...""]],""indices"":[[28]]},""attackRoll"":{""words"":[[""13""]],""indices"":[[35]]},""damageRoll"":{""words"":[[""7""]],""indices"":[[38]]}}]"
"Fjolnir hands off a potion to Dustfinger, (Make sure to mark that on your sheets. Also, you can't technically hold a bonus action, only full actions. Bonus actions and movement must be done on your turn, the exception is holding a dash action. You can edit you post if you'd like.) Hymir readies firebolt for anything that appears in the hall, but try as he may, he can't see anything. Az Emberi heals Absinthe up a bit, and cannot see or smell or hear any sign of the spiders. It's almost like they are not even on this plane of existence currently. Dirk, Dustfinger and Absinthe are up. Phase Spiders: Round 2 23- Dirk 22- Dustfinger (5/27 HP, Mirror Image) 17- Absinthe (14/35 HP) 16- Phase Spiders 1) Taken 17 damage, Looks hurt (Disappeared) 2) (Disappeared) 14- Fjolnir (28/44 HP) 14- Hymir (Readying attack action) 8- Az Emberi","[{""creature"":{""words"":[[""Dirk"",""Dustfinger"",""Absinthe""]],""indices"":[[113,115,121]]},""attack"":{""words"":[[""Spiders""]],""indices"":[[126]]},""target"":{""words"":[[""Fjolnir"",""Hymir"",""Az"",""Emberi""]],""indices"":[[137,141,146,147]]},""damageRoll"":{""words"":[[""17""]],""indices"":[[129]]}},{""creature"":{""words"":[[""Dirk,"",""Dustfinger"",""Absinthe""]],""indices"":[[102,103,105]]},""attack"":{""words"":[[""Spiders:""]],""indices"":[[109]]}},{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[70,71]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[73]]},""attack"":{""words"":[[""spiders.""]],""indices"":[[88]]}},{""creature"":{""words"":[[""Hymir""]],""indices"":[[51]]},""attack"":{""words"":[[""firebolt""]],""indices"":[[53]]}},{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""Dustfinger,""]],""indices"":[[6]]}}]"
"Fjolnir hears nothing aside from the beast trouncing through. You look Dirk over. He is not moving, and blood is trickling out of his mouth. Az Emberi rushes back through to check on Dirk as well and sees Fjolnir there shaking his head. Az Emberi: You see a faint breath that Fjolnir must have missed. Dirk is on the edge of life, but you suspect he is still feigning death. Whether you want to oust him or keep up the ruse is up to you, but you feel that Dirk is doing it to **** with you.  Krodmad chases after the owlbear, and gets just North of the curtain to see it. He fires a shot even with limited visibility: Attack: 16 Damage: 10 and hits! It howls in pain. Owlbear has taken 54 damage, and looks rough. Absinthe and Hymir are up , then the owlbear again.","[{""creature"":{""words"":[[""Hymir""],[""Krodmad""],[""Az"",""Emberi:""],[""Az"",""Emberi""],[""Fjolnir""]],""indices"":[[140],[97],[43,44],[25,26],[0]]},""target"":{""words"":[[""owlbear""],[""owlbear,""],[""Dirk""],[""Dirk""],[""Fjolnir""],[""Fjolnir""],[""Dirk""],[""Dirk""]],""indices"":[[146],[101],[89],[55],[51],[38],[33],[11]]},""attack"":{""words"":[[""fires"",""a"",""shot""]],""indices"":[[113,114,115]]},""attackRoll"":{""words"":[[""16""]],""indices"":[[121]]},""damageRoll"":{""words"":[[""54""],[""10""]],""indices"":[[133],[123]]}}]"
Fjolnir investigates the bodies for anything noteworthy: 10 'Everyone ok? We should get chains on this thing before she comes to...',"[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""spell"":{""words"":[[""investigates""]],""indices"":[[1]]},""attack"":{""words"":[[""chains""]],""indices"":[[13]]}}]"
Fjolnir looks over at Dirk across the room... '...are you wheezing?' Initiative: 8,"[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""Dirk""]],""indices"":[[4]]},""spell"":{""words"":[[""wheezing?'""]],""indices"":[[10]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[12]]}}]"
"Fjolnir recieves healing 3 , and steps forward through the door, and to the left of Az- ready's a shot for anything aggressive to rear its head in the hallway.","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""savingThrow"":{""words"":[[""3""]],""indices"":[[3]]},""target"":{""words"":[[""Az-""]],""indices"":[[16]]},""spell"":{""words"":[[""shot""]],""indices"":[[19]]}}]"
"Fjolnir stops in his tracks right at the corner, watching the skeletons advance a brief second, and thinking quite out-loud, 'Ya know, this shite is why more people ought burn their dead.' He sights Skeleton 9 through the doorframe and sails an arrow at the cantankerous re- animate wind-chime. Longbow 13 9","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""Skeleton"",""9""]],""indices"":[[34,35]]},""attack"":{""words"":[[""Longbow""]],""indices"":[[49]]},""attackRoll"":{""words"":[[""13""]],""indices"":[[50]]},""damageRoll"":{""words"":[[""9""]],""indices"":[[51]]}}]"
Goblin CON save: 16 It coughs but the poison has no effect otherwise. Fjolnir go ahead and make a perception roll in case the goblin is dead.,"[{""creature"":{""words"":[[""save:""],[""Goblin""]],""indices"":[[2],[0]]},""savingThrow"":{""words"":[[""16""]],""indices"":[[3]]},""attack"":{""words"":[[""poison""],[""coughs""]],""indices"":[[8],[5]]},""target"":{""words"":[[""Fjolnir""]],""indices"":[[13]]}}]"
"Having adventured with Az long enough, Dustfinger assumes some kind of nuke is about to go off and tries to creatively rescue Absinthe. He backs up five feet, while electricity arcs from his elbow down to his hand as he mutters his incantation, and he flings it out like a whip to snare the goliath and pull him away from the bugbear bukakke. The lightning loops around Absinthe and Dustfinger pulls, trying to reel him in to just in front of Fjolnir. Then Dustfinger Hexes the center bugbear in the back of the formation. (I've backed up 5' so Absinthe doesn't end up next to me to trigger damage. I don't know if he has to make a saving throw or if he can elect to fail it, but it's Strength vs 14. Hex is hexing Dex.)","[{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[83]]},""target"":{""words"":[[""bugbear""]],""indices"":[[87]]},""spell"":{""words"":[[""Hexes""]],""indices"":[[84]]}},{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[6]]},""target"":{""words"":[[""Absinthe.""]],""indices"":[[22]]},""spell"":{""words"":[[""lightning""]],""indices"":[[64]]}}]"
"Hymir commands his spider to move across the ceiling at Nezznar, then casts Earthen Grasp on the bugbear. 15 but it holds the fingers open and impedes the crushing blow. Az Emberi lashes out with a vine and catches Nezznar. Thorns press into his arms as the vine rips him off the ceiling and he falls to the floor. 17 He manages to stay standing but takes 4 bludgeoning damage from the fall. He is now adjacent to Az Emberi. Concentration saves: 15 14 The webs remain. Dustfinger tries and can't break free of the webs. He does manage to curse him though. Dirk is up. Lighting: Absinthe's Lightbringer 21-Dirk (Spider Webbed and Staff Webbed) 20-More Bugbears! 1) 17/27 HP 2) 12/27 HP 3) 19-Fjolnir 17-Absinthe 5/35 HP (Bardic Inspiration) 12-Nezznar the Black Spider (Taken 10 damage) (7/10) (Dex Hex)(Hexblade's Curse) 10-Hymir (Staff Webbed) 09-Az Emberi 08-Dustfinger (Staff Webbed)","[{""creature"":{""words"":[[""Black"",""Spider""]],""indices"":[[132,133]]},""damageRoll"":{""words"":[[""(7/10)""],[""10"",""damage)""]],""indices"":[[137],[135,136]]}},{""creature"":{""words"":[[""Dirk"",""Lighting:""]],""indices"":[[103,106]]},""attack"":{""words"":[[""Bugbears!""],[""Lightbringer""]],""indices"":[[116],[108]]},""attackRoll"":{""words"":[[""5/35""],[""17-Absinthe""],[""19-Fjolnir""],[""12/27""],[""17/27""]],""indices"":[[126],[125],[124],[121],[118]]}},{""damageRoll"":{""words"":[[""4"",""bludgeoning"",""damage""]],""indices"":[[67,68,69]]},""creature"":{""words"":[[""saves:""],[""Az"",""Emberi.""]],""indices"":[[81],[78,79]]}},{""creature"":{""words"":[[""Thorns"",""press""]],""indices"":[[40,41]]},""attack"":{""words"":[[""vine"",""rips"",""him"",""off""],[""arms""]],""indices"":[[47,48,49,50],[44]]}},{""creature"":{""words"":[[""Emberi"",""lashes""]],""indices"":[[31,32]]},""attack"":{""words"":[[""vine""]],""indices"":[[36]]},""target"":{""words"":[[""Nezznar.""]],""indices"":[[39]]}},{""attack"":{""words"":[[""blow.""]],""indices"":[[29]]},""damageRoll"":{""words"":[[""15""]],""indices"":[[18]]}},{""creature"":{""words"":[[""spider""]],""indices"":[[3]]},""target"":{""words"":[[""bugbear.""],[""Nezznar,""]],""indices"":[[17],[10]]},""spell"":{""words"":[[""Earthen"",""Grasp""]],""indices"":[[13,14]]}}]"
"Hymir gets a good angle on the zombie and botches his shot. Az Emberi whacks the zombie with his stick and anticipates the dust cloud coming off of it, succeeding in getting out of the effects. Fjolnir's CON save, DC 10 11 If you fail, you have Disadvantage on all d20 rolls, and you can try the save again at the end of your turn. Absinthe throws a dart from... somewhere... and hits the zombie square on the noggin. Fjolnir Krodmad & Dirk are up! Zombies 1) Taken 16 Damage 2) Taken 3 Damage Hymir Az Emberi & Absinthe","[{""creature"":{""words"":[[""Fjolnir"",""Krodmad"",""Dirk""]],""indices"":[[79,80,82]]},""attack"":{""words"":[[""Zombies""]],""indices"":[[85]]},""damageRoll"":{""words"":[[""16"",""3""]],""indices"":[[88,92]]},""target"":{""words"":[[""Hymir"",""Az"",""Emberi"",""Absinthe""]],""indices"":[[94,95,96,98]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[65]]},""attack"":{""words"":[[""dart""]],""indices"":[[68]]},""target"":{""words"":[[""noggin.""]],""indices"":[[78]]}},{""creature"":{""words"":[[""Fjolnir's""]],""indices"":[[36]]},""attack"":{""words"":[[""CON""]],""indices"":[[37]]},""target"":{""words"":[[""DC""]],""indices"":[[39]]}},{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[12,13]]},""feature"":{""words"":[[""zombie""]],""indices"":[[16]]},""attack"":{""words"":[[""dust"",""cloud""]],""indices"":[[23,24]]}},{""creature"":{""words"":[[""Hymir""]],""indices"":[[0]]},""feature"":{""words"":[[""zombie"",""botches""]],""indices"":[[7,9]]}}]"
"Hymir moves up to get the Orc in range to pop him. STR Save: 16 The hand comes down on the prone orc, who stops it and pushes it off of himself like a bench press. Brughor continues snoring. The orc that just maxed out his press jumps up to see all of his tribe down. He eyes the exit, and brandishes his greataxe, but doesn't see a good way out. He roars in anger and swings at Dustfinger and his mirrors. 2 Attack: 7 Damage: 4 He swings at the real Dustfinger, but the copies are enough to confuse him to the point of making a poor strike. Az Emberi and Dirk are up.  Round 3: Orc Camp 21- Fjolnir 18- Absinthe 18- Dustfinger (Concentrating on Darkness / 2 Mirror Copies) 15- Brughor Axe-Biter (Taken 24 damage looks rough / Asleep) 15- Hymir (Concentrating on Bunny Foo Foo) 11- Orcs: AC 13 4) Taken 14 Damage, (looks rough) 5) Taken 14 damage (looks rough / Asleep) 10- Az Emberi (Holding Darkness ball / Concentrating on Moonbeam) 4- Dirk","[{""creature"":{""words"":[[""Az"",""Emberi""],[""Orcs:""],[""Orc""]],""indices"":[[168,169],[150],[117]]},""target"":{""words"":[[""Dirk""],[""Hymir""],[""Brughor""],[""Absinthe"",""Dustfinger""],[""Fjolnir""]],""indices"":[[178],[143],[133],[122,124],[120]]},""attack"":{""words"":[[""Axe-Biter""]],""indices"":[[134]]},""damageRoll"":{""words"":[[""4-""],[""10-""],[""14""],[""14""],[""13""],[""11-""],[""15-""],[""15-""],[""24""]],""indices"":[[177],[167],[161],[155],[152],[149],[132],[142],[136]]},""spell"":{""words"":[[""Darkness"",""Mirror"",""Copies)"",""(Holding"",""Darkness"",""ball"",""Moonbeam)""]],""indices"":[[127,130,131,170,171,172,176]]}},{""attack"":{""words"":[[""Dustfinger,""]],""indices"":[[92]]},""target"":{""words"":[[""Az"",""Emberi"",""Dirk""]],""indices"":[[109,110,112]]}},{""attackRoll"":{""words"":[[""7""]],""indices"":[[84]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[86]]}},{""creature"":{""words"":[[""orc""]],""indices"":[[40]]},""attack"":{""words"":[[""Dustfinger""],[""greataxe,""]],""indices"":[[78],[63]]}},{""target"":{""words"":[[""orc,""]],""indices"":[[22]]},""creature"":{""words"":[[""Brughor""]],""indices"":[[36]]}},{""creature"":{""words"":[[""Hymir""]],""indices"":[[0]]},""target"":{""words"":[[""Orc""]],""indices"":[[6]]},""savingThrow"":{""words"":[[""16""]],""indices"":[[14]]}}]"
"Hymir nopes it on out with a serious blast from a thunderous orb that disrupts the form of the ghost. It reforms and isn't quite out of the fight yet. It seems resistant to the thunder. Fjolnir unfortunately misses his shot and curses under his breath about sphincters or something. Dustfinger thinks he hits with an eldritch blast, but it looks like he just hit between its arm and torso. After that, he realizes he has faced his fear and overcome it! Dirk insults the other one this time, for some effect. Absinthe focuses his rage on the one in front of him. With a solid hit from his sword and two connections with his fists, the ghost dissipates and fades into the ether. Az Emberi moves the moonbeam to the other ghost. 10 It starts burning in the light. It isn't looking so good. Furious and desperate, it rushes at Az Emberi. Roll a CHA Save, DC 13. Round 2: Ghost Guards 23- Hymir (Bardic Inspiration, Immune to Ghost 1 Horrific Visage) 17- Fjolnir (Hunter's Mark on #2, Immune to Ghost 1 Horrific Visage) 14- Dustfinger (Mirror Image: 3 copies, No longer frightened by Ghost 1) 7- Dirk (Invisible, Immune to Ghost 1 Horrific Visage) 5- Absinthe (Frightened by Ghost 1) 4- Az Emberi (Gone Wolfy, Immune to Ghost 1 Horrific Visage) 4- Ghosts 1) Taken 41 damage, Looks rough 2) Dead... again","[{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[124,125]]},""attack"":{""words"":[[""moonbeam""]],""indices"":[[128]]},""target"":{""words"":[[""Az"",""Emberi.""]],""indices"":[[151,152]]}},{""creature"":{""words"":[[""Dirk""]],""indices"":[[82]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[92]]},""attack"":{""words"":[[""sword"",""fists,""]],""indices"":[[109,115]]}},{""creature"":{""words"":[[""Fjolnir""],[""Hymir""]],""indices"":[[36],[0]]},""attack"":{""words"":[[""eldritch"",""blast,""],[""sphincters""],[""thunderous"",""orb""]],""indices"":[[56,57],[47],[11,12]]},""target"":{""words"":[[""Dustfinger""],[""ghost.""]],""indices"":[[50],[19]]}}]"
I attack the top right one with my rapier of advantage against all pink things. Attack: 18 Damage: 5,"[{""creature"":{""words"":[[""I"",""attack""]],""indices"":[[0,1]]},""attack"":{""words"":[[""rapier""]],""indices"":[[8]]},""attackRoll"":{""words"":[[""18""]],""indices"":[[16]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[18]]}}]"
"I attempt to cast faerie fire at the north eastern point of the room, light purple. Sickness tooth, do you want to know where I was last night? Having sex with your mother. Regarding you she said I was the best thing she ever laid. She was kinky, wanted to roleplay. She told me to be my magnificent self, and she would pretend she didn't have 1000 pounds of disappointment for a son. I give Fjolnir bardic inspiration.","[{""attack"":{""words"":[[""faerie"",""fire""]],""indices"":[[4,5]]},""feature"":{""words"":[[""roleplay.""],[""kinky,""],[""mother.""],[""sex""]],""indices"":[[50],[47],[32],[29]]},""spell"":{""words"":[[""magnificent""]],""indices"":[[57]]},""target"":{""words"":[[""Fjolnir"",""bardic""]],""indices"":[[75,76]]}}]"
"I call to Dirk 'wait, the cave may not yet be empty. Let's regroup and lick our wounds before continuing the search.","[{""creature"":{""words"":[[""Dirk""]],""indices"":[[3]]}}]"
I climb the rest of the way up Athletics 14 Dash to get up 15 use remaining 20 feet of movement to close the gap on the goblin Cast Bonus Action Shillelagh Yell in gutteral growl 'III SEEE YOUU WOORRRM!' Intemidation 7,"[{""creature"":{""words"":[[""Shillelagh"",""Yell""],[""Athletics""]],""indices"":[[31,32],[8]]},""target"":{""words"":[[""goblin""]],""indices"":[[27]]},""attack"":{""words"":[[""gutteral"",""growl""]],""indices"":[[34,35]]},""spell"":{""words"":[[""WOORRRM!'""]],""indices"":[[39]]}}]"
"I don't know which one, but Attack: 7 Damage: 8 rapiering someone","[{""attackRoll"":{""words"":[[""Attack:"",""7""]],""indices"":[[6,7]]},""damageRoll"":{""words"":[[""Damage:"",""8""]],""indices"":[[8,9]]},""spell"":{""words"":[[""rapiering""]],""indices"":[[10]]}}]"
I draw my shortsword right hand and dagger left hand as I rise. Attack: 9 Damage: 6 and Attack: 21 Damage: 3 on the bitch that wrecked me.... I throw my inspiration on the first attack 5,"[{""attack"":{""words"":[[""dagger""],[""shortsword""]],""indices"":[[7],[3]]},""attackRoll"":{""words"":[[""bitch"",""5""],[""21""],[""9""]],""indices"":[[24,36],[19],[14]]},""damageRoll"":{""words"":[[""3""],[""6""]],""indices"":[[21],[16]]}}]"
I examine the hole in the south wall,"[{""creature"":{""words"":[[""examine""]],""indices"":[[1]]},""target"":{""words"":[[""south"",""wall""]],""indices"":[[6,7]]}}]"
I look at my earthen grasp which has still been miming the song and in an overly stern and serious voice compared to the children's reference I say go pop me a field mouse The hand rushes over to O4 Strength saving throw 13 nothing happens on save 13 10 crushing damage and restrained on fail,"[{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""spell"":{""words"":[[""earthen"",""grasp""]],""indices"":[[4,5]]},""target"":{""words"":[[""O4""]],""indices"":[[39]]},""savingThrow"":{""words"":[[""13""]],""indices"":[[43]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[49]]}}]"
I mobe north 4 squares and cast spike growth on the spot that keeps dirk just out if the radius.,"[{""spell"":{""words"":[[""cast"",""spike"",""growth""]],""indices"":[[6,7,8]]},""creature"":{""words"":[[""I""]],""indices"":[[0]]},""target"":{""words"":[[""the""],[""spot""],[""dirk""]],""indices"":[[10],[11],[14]]}}]"
"I position myself for the Rapiering of the doppleganger, from behind.Attack: 20 Damage: 3","[{""spell"":{""words"":[[""Rapiering""]],""indices"":[[5]]},""attack"":{""words"":[[""doppleganger,""]],""indices"":[[8]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[11]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[13]]}}]"
"I run to the opposite side of the boat towards 9. Use my innate suggestion with a supernatural boom in my voice. Release, and help him back into the boat. Turn to Absinthe. Don't be afraid to catch fish. Ride drop top and chase thrills. I know you ain't afraid to pop pills, Baby, I know you ain't scared to catch fish, fish with me Bardic inspiration.","[{""spell"":{""words"":[[""Bardic""],[""supernatural"",""boom""]],""indices"":[[65],[17,18]]},""target"":{""words"":[[""Absinthe.""]],""indices"":[[32]]},""creature"":{""words"":[[""catch"",""fish.""]],""indices"":[[37,38]]},""attack"":{""words"":[[""pop"",""pills,""]],""indices"":[[51,52]]}}]"
"I search the room for valuables, try to figure out what's in the stew.",[]
I use mantle to move just north of absinthe,"[{""attack"":{""words"":[[""mantle""]],""indices"":[[2]]},""creature"":{""words"":[[""absinthe""]],""indices"":[[8]]}}]"
I would like to investigate the spot where the horses were/are. 8 that was for investigation may I roll insight or perception instead? 20 insight 15 Perception,"[{""creature"":{""words"":[[""investigation""],[""investigate""]],""indices"":[[15],[4]]},""attack"":{""words"":[[""horses""]],""indices"":[[9]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[23]]},""damageRoll"":{""words"":[[""15""]],""indices"":[[25]]}}]"
I'll crawl through the passage and do cute wounds on absinth 11,"[{""target"":{""words"":[[""absinth""]],""indices"":[[10]]},""spell"":{""words"":[[""cute"",""wounds""]],""indices"":[[7,8]]}}]"
Init 22,"[{""damageRoll"":{""words"":[[""22""]],""indices"":[[1]]}}]"
Initiative 8,"[{""attackRoll"":{""words"":[[""8""]],""indices"":[[1]]}}]"
"Inspired, Fjolnir runs following Dirk, about 25', and stops at the entrance to the looped passage around the boulder and puts his back to it to grab some minute bit of cover.","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[1]]},""target"":{""words"":[[""Dirk,""]],""indices"":[[4]]},""attackRoll"":{""words"":[[""25',""]],""indices"":[[6]]},""attack"":{""words"":[[""boulder""]],""indices"":[[18]]}}]"
