input,tags
"Fjolnir edges along the wall and settles near the flames of the bonfire- he nocks another arrow, sights the one eyed beast, and draws to fire at it, '****ing... creeping shit from the dark..!' Attack 13 potential damage 7","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""arrow,""]],""indices"":[[16]]},""spell"":{""words"":[[""'****ing...""]],""indices"":[[28]]},""attackRoll"":{""words"":[[""13""]],""indices"":[[35]]},""damageRoll"":{""words"":[[""7""]],""indices"":[[38]]}}]"
"Fjolnir hands off a potion to Dustfinger, (Make sure to mark that on your sheets. Also, you can't technically hold a bonus action, only full actions. Bonus actions and movement must be done on your turn, the exception is holding a dash action. You can edit you post if you'd like.) Hymir readies firebolt for anything that appears in the hall, but try as he may, he can't see anything. Az Emberi heals Absinthe up a bit, and cannot see or smell or hear any sign of the spiders. It's almost like they are not even on this plane of existence currently. Dirk, Dustfinger and Absinthe are up. Phase Spiders: Round 2 23- Dirk 22- Dustfinger (5/27 HP, Mirror Image) 17- Absinthe (14/35 HP) 16- Phase Spiders 1) Taken 17 damage, Looks hurt (Disappeared) 2) (Disappeared) 14- Fjolnir (28/44 HP) 14- Hymir (Readying attack action) 8- Az Emberi","[{""creature"":{""words"":[[""Dirk"",""Dustfinger"",""Absinthe""]],""indices"":[[113,115,121]]},""attack"":{""words"":[[""Spiders""]],""indices"":[[126]]},""target"":{""words"":[[""Fjolnir"",""Hymir"",""Az"",""Emberi""]],""indices"":[[137,141,146,147]]},""damageRoll"":{""words"":[[""17""]],""indices"":[[129]]}},{""creature"":{""words"":[[""Dirk,"",""Dustfinger"",""Absinthe""]],""indices"":[[102,103,105]]},""attack"":{""words"":[[""Spiders:""]],""indices"":[[109]]}},{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[70,71]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[73]]},""attack"":{""words"":[[""spiders.""]],""indices"":[[88]]}},{""creature"":{""words"":[[""Hymir""]],""indices"":[[51]]},""attack"":{""words"":[[""firebolt""]],""indices"":[[53]]}},{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""Dustfinger,""]],""indices"":[[6]]}}]"
"Fjolnir hears nothing aside from the beast trouncing through. You look Dirk over. He is not moving, and blood is trickling out of his mouth. Az Emberi rushes back through to check on Dirk as well and sees Fjolnir there shaking his head. Az Emberi: You see a faint breath that Fjolnir must have missed. Dirk is on the edge of life, but you suspect he is still feigning death. Whether you want to oust him or keep up the ruse is up to you, but you feel that Dirk is doing it to **** with you.  Krodmad chases after the owlbear, and gets just North of the curtain to see it. He fires a shot even with limited visibility: Attack: 16 Damage: 10 and hits! It howls in pain. Owlbear has taken 54 damage, and looks rough. Absinthe and Hymir are up , then the owlbear again.","[{""creature"":{""words"":[[""Hymir""],[""Krodmad""],[""Az"",""Emberi:""],[""Az"",""Emberi""],[""Fjolnir""]],""indices"":[[140],[97],[43,44],[25,26],[0]]},""target"":{""words"":[[""owlbear""],[""owlbear,""],[""Dirk""],[""Dirk""],[""Fjolnir""],[""Fjolnir""],[""Dirk""],[""Dirk""]],""indices"":[[146],[101],[89],[55],[51],[38],[33],[11]]},""attack"":{""words"":[[""fires"",""a"",""shot""]],""indices"":[[113,114,115]]},""attackRoll"":{""words"":[[""16""]],""indices"":[[121]]},""damageRoll"":{""words"":[[""54""],[""10""]],""indices"":[[133],[123]]}}]"
Fjolnir investigates the bodies for anything noteworthy: 10 'Everyone ok? We should get chains on this thing before she comes to...',"[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""spell"":{""words"":[[""investigates""]],""indices"":[[1]]},""attack"":{""words"":[[""chains""]],""indices"":[[13]]}}]"
Fjolnir looks over at Dirk across the room... '...are you wheezing?' Initiative: 8,"[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""Dirk""]],""indices"":[[4]]},""spell"":{""words"":[[""wheezing?'""]],""indices"":[[10]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[12]]}}]"
"Fjolnir recieves healing 3 , and steps forward through the door, and to the left of Az- ready's a shot for anything aggressive to rear its head in the hallway.","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""savingThrow"":{""words"":[[""3""]],""indices"":[[3]]},""target"":{""words"":[[""Az-""]],""indices"":[[16]]},""spell"":{""words"":[[""shot""]],""indices"":[[19]]}}]"
"Fjolnir stops in his tracks right at the corner, watching the skeletons advance a brief second, and thinking quite out-loud, 'Ya know, this shite is why more people ought burn their dead.' He sights Skeleton 9 through the doorframe and sails an arrow at the cantankerous re- animate wind-chime. Longbow 13 9","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""Skeleton"",""9""]],""indices"":[[34,35]]},""attack"":{""words"":[[""Longbow""]],""indices"":[[49]]},""attackRoll"":{""words"":[[""13""]],""indices"":[[50]]},""damageRoll"":{""words"":[[""9""]],""indices"":[[51]]}}]"
Goblin CON save: 16 It coughs but the poison has no effect otherwise. Fjolnir go ahead and make a perception roll in case the goblin is dead.,"[{""creature"":{""words"":[[""save:""],[""Goblin""]],""indices"":[[2],[0]]},""savingThrow"":{""words"":[[""16""]],""indices"":[[3]]},""attack"":{""words"":[[""poison""],[""coughs""]],""indices"":[[8],[5]]},""target"":{""words"":[[""Fjolnir""]],""indices"":[[13]]}}]"
"Having adventured with Az long enough, Dustfinger assumes some kind of nuke is about to go off and tries to creatively rescue Absinthe. He backs up five feet, while electricity arcs from his elbow down to his hand as he mutters his incantation, and he flings it out like a whip to snare the goliath and pull him away from the bugbear bukakke. The lightning loops around Absinthe and Dustfinger pulls, trying to reel him in to just in front of Fjolnir. Then Dustfinger Hexes the center bugbear in the back of the formation. (I've backed up 5' so Absinthe doesn't end up next to me to trigger damage. I don't know if he has to make a saving throw or if he can elect to fail it, but it's Strength vs 14. Hex is hexing Dex.)","[{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[83]]},""target"":{""words"":[[""bugbear""]],""indices"":[[87]]},""spell"":{""words"":[[""Hexes""]],""indices"":[[84]]}},{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[6]]},""target"":{""words"":[[""Absinthe.""]],""indices"":[[22]]},""spell"":{""words"":[[""lightning""]],""indices"":[[64]]}}]"
"Hymir commands his spider to move across the ceiling at Nezznar, then casts Earthen Grasp on the bugbear. 15 but it holds the fingers open and impedes the crushing blow. Az Emberi lashes out with a vine and catches Nezznar. Thorns press into his arms as the vine rips him off the ceiling and he falls to the floor. 17 He manages to stay standing but takes 4 bludgeoning damage from the fall. He is now adjacent to Az Emberi. Concentration saves: 15 14 The webs remain. Dustfinger tries and can't break free of the webs. He does manage to curse him though. Dirk is up. Lighting: Absinthe's Lightbringer 21-Dirk (Spider Webbed and Staff Webbed) 20-More Bugbears! 1) 17/27 HP 2) 12/27 HP 3) 19-Fjolnir 17-Absinthe 5/35 HP (Bardic Inspiration) 12-Nezznar the Black Spider (Taken 10 damage) (7/10) (Dex Hex)(Hexblade's Curse) 10-Hymir (Staff Webbed) 09-Az Emberi 08-Dustfinger (Staff Webbed)","[{""creature"":{""words"":[[""Black"",""Spider""]],""indices"":[[132,133]]},""damageRoll"":{""words"":[[""(7/10)""],[""10"",""damage)""]],""indices"":[[137],[135,136]]}},{""creature"":{""words"":[[""Dirk"",""Lighting:""]],""indices"":[[103,106]]},""attack"":{""words"":[[""Bugbears!""],[""Lightbringer""]],""indices"":[[116],[108]]},""attackRoll"":{""words"":[[""5/35""],[""17-Absinthe""],[""19-Fjolnir""],[""12/27""],[""17/27""]],""indices"":[[126],[125],[124],[121],[118]]}},{""damageRoll"":{""words"":[[""4"",""bludgeoning"",""damage""]],""indices"":[[67,68,69]]},""creature"":{""words"":[[""saves:""],[""Az"",""Emberi.""]],""indices"":[[81],[78,79]]}},{""creature"":{""words"":[[""Thorns"",""press""]],""indices"":[[40,41]]},""attack"":{""words"":[[""vine"",""rips"",""him"",""off""],[""arms""]],""indices"":[[47,48,49,50],[44]]}},{""creature"":{""words"":[[""Emberi"",""lashes""]],""indices"":[[31,32]]},""attack"":{""words"":[[""vine""]],""indices"":[[36]]},""target"":{""words"":[[""Nezznar.""]],""indices"":[[39]]}},{""attack"":{""words"":[[""blow.""]],""indices"":[[29]]},""damageRoll"":{""words"":[[""15""]],""indices"":[[18]]}},{""creature"":{""words"":[[""spider""]],""indices"":[[3]]},""target"":{""words"":[[""bugbear.""],[""Nezznar,""]],""indices"":[[17],[10]]},""spell"":{""words"":[[""Earthen"",""Grasp""]],""indices"":[[13,14]]}}]"
"Hymir gets a good angle on the zombie and botches his shot. Az Emberi whacks the zombie with his stick and anticipates the dust cloud coming off of it, succeeding in getting out of the effects. Fjolnir's CON save, DC 10 11 If you fail, you have Disadvantage on all d20 rolls, and you can try the save again at the end of your turn. Absinthe throws a dart from... somewhere... and hits the zombie square on the noggin. Fjolnir Krodmad & Dirk are up! Zombies 1) Taken 16 Damage 2) Taken 3 Damage Hymir Az Emberi & Absinthe","[{""creature"":{""words"":[[""Fjolnir"",""Krodmad"",""Dirk""]],""indices"":[[79,80,82]]},""attack"":{""words"":[[""Zombies""]],""indices"":[[85]]},""damageRoll"":{""words"":[[""16"",""3""]],""indices"":[[88,92]]},""target"":{""words"":[[""Hymir"",""Az"",""Emberi"",""Absinthe""]],""indices"":[[94,95,96,98]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[65]]},""attack"":{""words"":[[""dart""]],""indices"":[[68]]},""target"":{""words"":[[""noggin.""]],""indices"":[[78]]}},{""creature"":{""words"":[[""Fjolnir's""]],""indices"":[[36]]},""attack"":{""words"":[[""CON""]],""indices"":[[37]]},""target"":{""words"":[[""DC""]],""indices"":[[39]]}},{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[12,13]]},""feature"":{""words"":[[""zombie""]],""indices"":[[16]]},""attack"":{""words"":[[""dust"",""cloud""]],""indices"":[[23,24]]}},{""creature"":{""words"":[[""Hymir""]],""indices"":[[0]]},""feature"":{""words"":[[""zombie"",""botches""]],""indices"":[[7,9]]}}]"
"Hymir nopes it on out with a serious blast from a thunderous orb that disrupts the form of the ghost. It reforms and isn't quite out of the fight yet. It seems resistant to the thunder. Fjolnir unfortunately misses his shot and curses under his breath about sphincters or something. Dustfinger thinks he hits with an eldritch blast, but it looks like he just hit between its arm and torso. After that, he realizes he has faced his fear and overcome it! Dirk insults the other one this time, for some effect. Absinthe focuses his rage on the one in front of him. With a solid hit from his sword and two connections with his fists, the ghost dissipates and fades into the ether. Az Emberi moves the moonbeam to the other ghost. 10 It starts burning in the light. It isn't looking so good. Furious and desperate, it rushes at Az Emberi. Roll a CHA Save, DC 13. Round 2: Ghost Guards 23- Hymir (Bardic Inspiration, Immune to Ghost 1 Horrific Visage) 17- Fjolnir (Hunter's Mark on #2, Immune to Ghost 1 Horrific Visage) 14- Dustfinger (Mirror Image: 3 copies, No longer frightened by Ghost 1) 7- Dirk (Invisible, Immune to Ghost 1 Horrific Visage) 5- Absinthe (Frightened by Ghost 1) 4- Az Emberi (Gone Wolfy, Immune to Ghost 1 Horrific Visage) 4- Ghosts 1) Taken 41 damage, Looks rough 2) Dead... again","[{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[124,125]]},""attack"":{""words"":[[""moonbeam""]],""indices"":[[128]]},""target"":{""words"":[[""Az"",""Emberi.""]],""indices"":[[151,152]]}},{""creature"":{""words"":[[""Dirk""]],""indices"":[[82]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[92]]},""attack"":{""words"":[[""sword"",""fists,""]],""indices"":[[109,115]]}},{""creature"":{""words"":[[""Fjolnir""],[""Hymir""]],""indices"":[[36],[0]]},""attack"":{""words"":[[""eldritch"",""blast,""],[""sphincters""],[""thunderous"",""orb""]],""indices"":[[56,57],[47],[11,12]]},""target"":{""words"":[[""Dustfinger""],[""ghost.""]],""indices"":[[50],[19]]}}]"
I attack the top right one with my rapier of advantage against all pink things. Attack: 18 Damage: 5,"[{""creature"":{""words"":[[""I"",""attack""]],""indices"":[[0,1]]},""attack"":{""words"":[[""rapier""]],""indices"":[[8]]},""attackRoll"":{""words"":[[""18""]],""indices"":[[16]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[18]]}}]"
"I attempt to cast faerie fire at the north eastern point of the room, light purple. Sickness tooth, do you want to know where I was last night? Having sex with your mother. Regarding you she said I was the best thing she ever laid. She was kinky, wanted to roleplay. She told me to be my magnificent self, and she would pretend she didn't have 1000 pounds of disappointment for a son. I give Fjolnir bardic inspiration.","[{""attack"":{""words"":[[""faerie"",""fire""]],""indices"":[[4,5]]},""feature"":{""words"":[[""roleplay.""],[""kinky,""],[""mother.""],[""sex""]],""indices"":[[50],[47],[32],[29]]},""spell"":{""words"":[[""magnificent""]],""indices"":[[57]]},""target"":{""words"":[[""Fjolnir"",""bardic""]],""indices"":[[75,76]]}}]"
"I call to Dirk 'wait, the cave may not yet be empty. Let's regroup and lick our wounds before continuing the search.","[{""creature"":{""words"":[[""Dirk""]],""indices"":[[3]]}}]"
I climb the rest of the way up Athletics 14 Dash to get up 15 use remaining 20 feet of movement to close the gap on the goblin Cast Bonus Action Shillelagh Yell in gutteral growl 'III SEEE YOUU WOORRRM!' Intemidation 7,"[{""creature"":{""words"":[[""Shillelagh"",""Yell""],[""Athletics""]],""indices"":[[31,32],[8]]},""target"":{""words"":[[""goblin""]],""indices"":[[27]]},""attack"":{""words"":[[""gutteral"",""growl""]],""indices"":[[34,35]]},""spell"":{""words"":[[""WOORRRM!'""]],""indices"":[[39]]}}]"
"I don't know which one, but Attack: 7 Damage: 8 rapiering someone","[{""attackRoll"":{""words"":[[""Attack:"",""7""]],""indices"":[[6,7]]},""damageRoll"":{""words"":[[""Damage:"",""8""]],""indices"":[[8,9]]},""spell"":{""words"":[[""rapiering""]],""indices"":[[10]]}}]"
I draw my shortsword right hand and dagger left hand as I rise. Attack: 9 Damage: 6 and Attack: 21 Damage: 3 on the bitch that wrecked me.... I throw my inspiration on the first attack 5,"[{""attack"":{""words"":[[""dagger""],[""shortsword""]],""indices"":[[7],[3]]},""attackRoll"":{""words"":[[""bitch"",""5""],[""21""],[""9""]],""indices"":[[24,36],[19],[14]]},""damageRoll"":{""words"":[[""3""],[""6""]],""indices"":[[21],[16]]}}]"
I examine the hole in the south wall,"[{""creature"":{""words"":[[""examine""]],""indices"":[[1]]},""target"":{""words"":[[""south"",""wall""]],""indices"":[[6,7]]}}]"
I look at my earthen grasp which has still been miming the song and in an overly stern and serious voice compared to the children's reference I say go pop me a field mouse The hand rushes over to O4 Strength saving throw 13 nothing happens on save 13 10 crushing damage and restrained on fail,"[{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""spell"":{""words"":[[""earthen"",""grasp""]],""indices"":[[4,5]]},""target"":{""words"":[[""O4""]],""indices"":[[39]]},""savingThrow"":{""words"":[[""13""]],""indices"":[[43]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[49]]}}]"
I mobe north 4 squares and cast spike growth on the spot that keeps dirk just out if the radius.,"[{""spell"":{""words"":[[""cast"",""spike"",""growth""]],""indices"":[[6,7,8]]},""creature"":{""words"":[[""I""]],""indices"":[[0]]},""target"":{""words"":[[""the""],[""spot""],[""dirk""]],""indices"":[[10],[11],[14]]}}]"
"I position myself for the Rapiering of the doppleganger, from behind.Attack: 20 Damage: 3","[{""spell"":{""words"":[[""Rapiering""]],""indices"":[[5]]},""attack"":{""words"":[[""doppleganger,""]],""indices"":[[8]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[11]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[13]]}}]"
"I run to the opposite side of the boat towards 9. Use my innate suggestion with a supernatural boom in my voice. Release, and help him back into the boat. Turn to Absinthe. Don't be afraid to catch fish. Ride drop top and chase thrills. I know you ain't afraid to pop pills, Baby, I know you ain't scared to catch fish, fish with me Bardic inspiration.","[{""spell"":{""words"":[[""Bardic""],[""supernatural"",""boom""]],""indices"":[[65],[17,18]]},""target"":{""words"":[[""Absinthe.""]],""indices"":[[32]]},""creature"":{""words"":[[""catch"",""fish.""]],""indices"":[[37,38]]},""attack"":{""words"":[[""pop"",""pills,""]],""indices"":[[51,52]]}}]"
"I search the room for valuables, try to figure out what's in the stew.",[]
I use mantle to move just north of absinthe,"[{""attack"":{""words"":[[""mantle""]],""indices"":[[2]]},""creature"":{""words"":[[""absinthe""]],""indices"":[[8]]}}]"
I would like to investigate the spot where the horses were/are. 8 that was for investigation may I roll insight or perception instead? 20 insight 15 Perception,"[{""creature"":{""words"":[[""investigation""],[""investigate""]],""indices"":[[15],[4]]},""attack"":{""words"":[[""horses""]],""indices"":[[9]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[23]]},""damageRoll"":{""words"":[[""15""]],""indices"":[[25]]}}]"
I'll crawl through the passage and do cute wounds on absinth 11,"[{""target"":{""words"":[[""absinth""]],""indices"":[[10]]},""spell"":{""words"":[[""cute"",""wounds""]],""indices"":[[7,8]]}}]"
Init 22,"[{""damageRoll"":{""words"":[[""22""]],""indices"":[[1]]}}]"
Initiative 8,"[{""attackRoll"":{""words"":[[""8""]],""indices"":[[1]]}}]"
"Inspired, Fjolnir runs following Dirk, about 25', and stops at the entrance to the looped passage around the boulder and puts his back to it to grab some minute bit of cover.","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[1]]},""target"":{""words"":[[""Dirk,""]],""indices"":[[4]]},""attackRoll"":{""words"":[[""25',""]],""indices"":[[6]]},""attack"":{""words"":[[""boulder""]],""indices"":[[18]]}}]"
"Looks like we have to go for a swim to finish this. Do we think these things are intelligent enough to negotiate at this point? Seriously, does someone want to dangle me over the side for a little powow fireside chat with Ariel's over caricature of an aunt? I mean we get it, you are the evil antagonist of the story but it wouldn't hurt to put on a little make up and do some situps once in a while AMIRIGHT? While I look to everyone for affirmation I am definitely looking at Mary, making that 'Come on, for reals though right?' face.",[]
"Lute at the ready, I play a cheery song about goblins who definitely aren't going to die, heavy with sarcasm. A sleepy song directed at the archers at the back 24","[{""creature"":{""words"":[[""Lute""]],""indices"":[[0]]},""target"":{""words"":[[""goblins""]],""indices"":[[10]]},""spell"":{""words"":[[""sarcasm.""]],""indices"":[[19]]},""attack"":{""words"":[[""archers""]],""indices"":[[26]]},""attackRoll"":{""words"":[[""24""]],""indices"":[[30]]}}]"
Magic Missiles! R3 2 R1 3 R1 4,"[{""spell"":{""words"":[[""Magic"",""Missiles!""]],""indices"":[[0,1]]},""attackRoll"":{""words"":[[""R3"",""2"",""R1"",""3"",""R1"",""4""]],""indices"":[[2,3,4,5,6,7]]}}]"
Merc that wolf. Attack 25 Damage 9 + Sneak Attack 8,"[{""creature"":{""words"":[[""Merc""]],""indices"":[[0]]},""target"":{""words"":[[""wolf.""]],""indices"":[[2]]},""attackRoll"":{""words"":[[""8""],[""25""]],""indices"":[[10],[4]]},""damageRoll"":{""words"":[[""9""]],""indices"":[[6]]}}]"
Round 4: Game of Cragmaw Absinthe make a death save. Dirk is up.,"[{""creature"":{""words"":[[""Cragmaw"",""Absinthe""]],""indices"":[[4,5]]},""savingThrow"":{""words"":[[""save.""]],""indices"":[[9]]},""target"":{""words"":[[""Dirk""]],""indices"":[[10]]}}]"
Shrug damage: 7 Short sword Attack: 23 Damage: 6 Stomp on jellies face Attack: 13 Damage: 6,"[{""target"":{""words"":[[""Shrug""]],""indices"":[[0]]},""damageRoll"":{""words"":[[""6""],[""13""],[""23""],[""7""]],""indices"":[[16],[14],[6],[2]]},""attack"":{""words"":[[""jellies"",""face""],[""sword""]],""indices"":[[11,12],[4]]},""attackRoll"":{""words"":[[""6""]],""indices"":[[8]]}}]"
So hey.... fingers. He doesn't need fingers right? Maybe we take 2-3 off and he can't get out so easily... if at all anymore? Help load it back into the cart.,"[{""attackRoll"":{""words"":[[""2-3""]],""indices"":[[11]]}}]"
"Stealth 18 (if this rerolls, it was 18 pre-edit) Initiative 23","[{""creature"":{""words"":[[""Stealth""]],""indices"":[[0]]},""damageRoll"":{""words"":[[""18""]],""indices"":[[1]]},""savingThrow"":{""words"":[[""18""]],""indices"":[[7]]},""attackRoll"":{""words"":[[""23""]],""indices"":[[10]]}}]"
"To Favric, 'And now you never will!' Absinthe charges towards the northern most cultist, with a crazy look of insanity in my eye. Grapple: 24","[{""target"":{""words"":[[""Favric,""]],""indices"":[[1]]},""creature"":{""words"":[[""Absinthe""]],""indices"":[[7]]},""spell"":{""words"":[[""crazy""],[""cultist,""]],""indices"":[[16],[13]]},""attack"":{""words"":[[""Grapple:""]],""indices"":[[23]]},""attackRoll"":{""words"":[[""24""]],""indices"":[[24]]}}]"
Use action to call lightning on 18. 20 lightning dmg,"[{""attack"":{""words"":[[""lightning""]],""indices"":[[4]]},""attackRoll"":{""words"":[[""18.""]],""indices"":[[6]]},""damageRoll"":{""words"":[[""20""]],""indices"":[[7]]}}]"
"Walking forward about 15 feet, and just un-shielding his eyes from the fireball, Fjolnir hears Az taunt the attacker, and he yells back with one eye still closed, 'He's 'The Spider', an 'e sends pets, also spiders, ta fight... is it a little derivative and repetitious?!' [the battle sounds interrupt him] 'Like how do we refer to him, The spider an his spiders? Soun' like a shit group of mummers!'",[]
"While running, Dirk stumbles at the same time he swings his shortsword. He nearly falls flat and his sword clangs into the ground. He rights himself and at least connects with the dagger. Hymir moves through the healing spirit and then flings a fire bolt at zombie #6. Heals: 2 Hurts: Attack: 13 Damage: 2 It's just enough to end the zombies semblance of life, 13 But it hangs on by a thread. Zombie 6 attacks Az Emberi: Attack: 4 Damage: 5 But doesn't even lift his arm high enough to swing, like a limp shouldered flail. Zombie 8 attacks the confusing amount of Dustfingers: 2 / 7 Damage: 5 While it randomly targeted the correct one, it was no where near fast enough to connect. Everyone is up! 18- Hymir 26+5/30 HP 15- Dwarven Zombies AC: 8/ HP: 22 6) 1 HP 8) Taken 16 damage, looks hurt 13- Fjolnir 36+5/44 HP 13- Absinthe 19+1/35 HP 08- Flameskull- Ba doo be, shattered, shattered. Look at him, he's in tatters. 05- Dustfinger 4/27 HP (Has 3 duplicates) 04- Az Emberi 23/31 HP (C) Healing Spirit 04- Dirk 12+5 /27 HP","[{""damageRoll"":{""words"":[[""16""]],""indices"":[[145]]}},{""creature"":{""words"":[[""Zombie""]],""indices"":[[97]]},""target"":{""words"":[[""Dustfingers:""]],""indices"":[[104]]},""damageRoll"":{""words"":[[""7""]],""indices"":[[107]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[98]]}},{""creature"":{""words"":[[""Zombie""]],""indices"":[[73]]},""target"":{""words"":[[""Az"",""Emberi:""]],""indices"":[[76,77]]},""attackRoll"":{""words"":[[""4""],[""6""]],""indices"":[[79],[74]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[81]]},""attack"":{""words"":[[""limp"",""shouldered"",""flail.""]],""indices"":[[94,95,96]]}},{""attackRoll"":{""words"":[[""13""]],""indices"":[[52]]},""damageRoll"":{""words"":[[""2""]],""indices"":[[54]]}},{""creature"":{""words"":[[""Dirk""]],""indices"":[[2]]},""attack"":{""words"":[[""fire"",""bolt""],[""healing"",""spirit""],[""dagger.""],[""shortsword.""]],""indices"":[[43,44],[37,38],[32],[11]]},""target"":{""words"":[[""Hymir""]],""indices"":[[33]]},""spell"":{""words"":[[""zombie""]],""indices"":[[46]]}}]"
"With our inevitable doom in sight, Absinthe decides to go out doing the things he likes most. Punching and Grappling things. Absinthe takes a deep breath and in one swoop drops his robe. Standing completely naked with his stupid Yklwa in hand and Goliath dong just hanging out. 'May this be or may it not be my final battle! Or something like that!' Absinthe charges towards the dragon, dong flopping back and forth between his legs. Leaps at the dragons throat, just below the head. Grapple: 21 Bonus Yklwa Attack: 22 Damage: 8","[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[63]]},""attack"":{""words"":[[""Grapple:""],[""Leaps""],[""dragon,""]],""indices"":[[85],[76],[67]]},""attackRoll"":{""words"":[[""22""]],""indices"":[[90]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[92]]},""savingThrow"":{""words"":[[""21""]],""indices"":[[86]]}},{""creature"":{""words"":[[""Goliath""],[""Absinthe""]],""indices"":[[43],[21]]},""attack"":{""words"":[[""robe.""]],""indices"":[[32]]},""target"":{""words"":[[""Yklwa""]],""indices"":[[39]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[6]]},""attack"":{""words"":[[""Punching"",""Grappling""]],""indices"":[[17,19]]}}]"
after everything i continue the conversation with Nezznar Very visibly and noticeably writes down his answers This whole 'we'll see' and the 'might be an option' these questions are to figure out information there is no right or wrong answer and no answer that you give will change certain outcomes on whether you are able to have a reduce sentence or not. continues writing. i know you understood what i was asking on my most important question so that makes your answer interesting.,"[{""creature"":{""words"":[[""asking""],[""writing.""],[""reduce""],[""answers""],[""writes""],[""conversation""]],""indices"":[[71],[63],[58],[15],[12],[5]]},""target"":{""words"":[[""answer""],[""questions""],[""Nezznar""]],""indices"":[[81],[27],[7]]},""spell"":{""words"":[[""figure"",""information""]],""indices"":[[30,32]]}}]"
"based on my insight roll i will untie him but his legs are still bound and he still has his manacles so should still be retrained as far as movement goes i yell out to the camp just load enough for everyone to hear me ' Prisoner untied, Heard? ' waiting for acknowledgement and i ready my action which will be slapping him in the face with wolf mean that i will use a a conductor from my fists","[{""creature"":{""words"":[[""untie""]],""indices"":[[7]]},""spell"":{""words"":[[""manacles""]],""indices"":[[20]]},""attack"":{""words"":[[""fists""],[""conductor""],[""wolf""],[""slapping""]],""indices"":[[78],[75],[67],[61]]}}]"
catches up to 4legs mc 2nd place greyhound put to pasture mcgee in order to....  21 investigation on the humanoid figure,"[{""creature"":{""words"":[[""investigation""],[""4legs""],[""catches""]],""indices"":[[16],[3],[0]]},""target"":{""words"":[[""humanoid"",""figure""],[""mcgee""],[""greyhound""]],""indices"":[[19,20],[11],[7]]},""attack"":{""words"":[[""pasture""]],""indices"":[[10]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[15]]}}]"
"having failed miserably a feeling of hate blinds me. I drop my arcane focus to the ground and take out both my scimitars and with a might roar yell 'BARBARIAN RAGE!!!' In Hope's to convince them that I am a barbarian, I dont know if that's an intimidation or deception or both i then attack Klarg with both weapons. Attack 19 potential damage 8 Second attack 22 potential damage 1 2","[{""attack"":{""words"":[[""scimitars""],[""arcane""]],""indices"":[[22],[12]]},""spell"":{""words"":[[""'BARBARIAN"",""RAGE!!!'"",""barbarian,""]],""indices"":[[29,30,40]]},""target"":{""words"":[[""Klarg""]],""indices"":[[55]]},""attackRoll"":{""words"":[[""22""],[""19""]],""indices"":[[66],[60]]},""damageRoll"":{""words"":[[""1"",""2""],[""8""]],""indices"":[[69,70],[63]]}}]"
i hand the rat some food and do an arcana check 21,"[{""creature"":{""words"":[[""hand""]],""indices"":[[1]]},""attack"":{""words"":[[""arcana""],[""food""]],""indices"":[[9],[5]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[11]]}}]"
i high five my self then my spider that is painted to look mechanical,"[{""attack"":{""words"":[[""spider""]],""indices"":[[7]]},""attackRoll"":{""words"":[[""five""]],""indices"":[[2]]}}]"
